Group,Desc,Text,long,lat,Club,Icon
Standpladser,Slagtermesterens høl,NA,8.99798,56.41483,NA,fish.png
Standpladser,Grønbæks lille høl,NA,8.999224,56.415127,NA,fish.png
Standpladser,Grønbæks store høl,NA,9.001268,56.418139,NA,fish.png
Standpladser,S svinget,NA,8.998141,56.420151,NA,fish.png
Standpladser,Røjbæk høl,NA,8.99924,56.413296,NA,fish.png
Standpladser,Æbletræet,NA,9.004948,56.409177,NA,fish.png
Standpladser,Bette Niels' høl,"9/12-2012: Flyttet (indrapporteret af Jakob Larsen): Har talt med Hagebro Lasse, han peger på svinget opstrøms Æbletræet som Bette Niels.",9.005667,56.40907,NA,fish.png
Standpladser,Alknuden,NA,9.004691,56.40831,NA,fish.png
Standpladser,De 3 grøfter,NA,9.004573,56.40736,NA,fish.png
Standpladser,Vormstrup svingene,NA,9.031749,56.402599,NA,fish.png
Standpladser,Holmegaards store høl,NA,8.999412,56.430931,NA,fish.png
Standpladser,Dueholm leg,Indberettet af Birgitte Windfeld-Hansen,8.99673,56.428618,NA,fish.png
Standpladser,Busken,NA,8.9957,56.425366,NA,fish.png
Standpladser,Enghøllet,NA,8.994906,56.42418,NA,fish.png
Standpladser,Severins høl,NA,8.996665,56.423687,NA,fish.png
Standpladser,Sommerhus høllet,NA,8.99526,56.4225,NA,fish.png
Standpladser,Flænget,NA,8.996279,56.421474,NA,fish.png
Standpladser,Besehuset,NA,9.000222,56.444467,NA,fish.png
Standpladser,Møllehøllet,NA,8.995898,56.446091,NA,fish.png
Standpladser,Piletræet,NA,8.987975,56.45074,NA,fish.png
Standpladser,Mejerisvinget,NA,8.985314,56.460594,NA,fish.png
Standpladser,Granhøllet,NA,8.986516,56.458697,NA,fish.png
Standpladser,Det mørke høl,NA,8.983598,56.457772,NA,fish.png
Standpladser,Oddersvinget,NA,8.985572,56.456563,NA,fish.png
Standpladser,Stenhøllet,NA,8.983426,56.454737,NA,fish.png
Standpladser,Faskinesvinget,NA,8.984671,56.467327,NA,fish.png
Standpladser,Åkjær spang,NA,8.983147,56.475161,NA,fish.png
Standpladser,Åkjær svinget,NA,8.982611,56.471997,NA,fish.png
Standpladser,Drikkestedet,NA,8.988383,56.481549,NA,fish.png
Standpladser,Fly gangtræ,NA,8.988576,56.488018,NA,fish.png
Standpladser,Pumpehuset,NA,8.987841,56.490458,NA,fish.png
Standpladser,Nørrekær bro,NA,8.982396,56.514072,NA,fish.png
Standpladser,Estvadsgårds bro,NA,8.996086,56.524442,NA,fish.png
Standpladser,Johnsens bro,NA,9.002824,56.547893,NA,fish.png
Standpladser,Gl jernbane bro,NA,9.005699,56.562439,NA,fish.png
