Date,Place,Level,LevelRelative
2015-01-01T00:00:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T00:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T00:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T00:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T00:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T01:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T01:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T01:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T01:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T02:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T02:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T02:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T02:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T03:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T03:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T03:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T03:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T04:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T04:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T04:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T04:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T05:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T05:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T05:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T05:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T06:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T06:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T06:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T06:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T07:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T07:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T07:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T07:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T08:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T08:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T08:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T08:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T09:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T09:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T09:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T09:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T10:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T10:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T10:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T10:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T11:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T11:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T11:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T11:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T12:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T12:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T12:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T12:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T13:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T13:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T13:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T13:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T14:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T14:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T14:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T14:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T15:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T15:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T15:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T15:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T16:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T16:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T16:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T16:47:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T17:02:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T17:17:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T17:32:00Z,Hagebro (001762),0.6890000000000001,0.07972948953459691
2015-01-01T17:47:00Z,Hagebro (001762),0.6880000000000006,0.07872948953459746
2015-01-01T18:02:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T18:17:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T18:32:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T18:47:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T19:02:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T19:17:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T19:32:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T19:47:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T20:02:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T20:17:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T20:32:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T20:47:00Z,Hagebro (001762),0.6749999999999989,0.06572948953459579
2015-01-01T21:02:00Z,Hagebro (001762),0.677999999999999,0.0687294895345959
2015-01-01T21:17:00Z,Hagebro (001762),0.677999999999999,0.0687294895345959
2015-01-01T21:32:00Z,Hagebro (001762),0.677999999999999,0.0687294895345959
2015-01-01T21:47:00Z,Hagebro (001762),0.677999999999999,0.0687294895345959
2015-01-01T22:02:00Z,Hagebro (001762),0.677999999999999,0.0687294895345959
2015-01-01T22:17:00Z,Hagebro (001762),0.6820000000000004,0.07272948953459724
2015-01-01T22:32:00Z,Hagebro (001762),0.6820000000000004,0.07272948953459724
2015-01-01T22:47:00Z,Hagebro (001762),0.6839999999999993,0.07472948953459613
2015-01-01T23:02:00Z,Hagebro (001762),0.6839999999999993,0.07472948953459613
2015-01-01T23:17:00Z,Hagebro (001762),0.6839999999999993,0.07472948953459613
2015-01-01T23:32:00Z,Hagebro (001762),0.6839999999999993,0.07472948953459613
2015-01-01T23:47:00Z,Hagebro (001762),0.6839999999999993,0.07472948953459613
2015-01-02T00:00:00Z,Hagebro (001762),0.6850000000000005,0.07547642105269903
2015-01-02T00:02:00Z,Hagebro (001762),0.6850000000000005,0.07547642105269903
2015-01-02T00:17:00Z,Hagebro (001762),0.6850000000000005,0.07547642105269903
2015-01-02T00:32:00Z,Hagebro (001762),0.6869999999999994,0.07747642105269792
