Date,Place,Level
2021-01-05T07:00:00Z,Karup By (054764),0.27852497100830104
2021-01-05T06:45:00Z,Karup By (054764),0.279836616516113
2021-01-05T06:30:00Z,Karup By (054764),0.28020450592041
2021-01-05T06:15:00Z,Karup By (054764),0.281446342468262
2021-01-05T06:00:00Z,Karup By (054764),0.27918689727783197
2021-01-05T06:00:00Z,Hagebro (001762),0.459730758666991
2021-01-05T05:45:00Z,Karup By (054764),0.278151206970215
2021-01-05T05:45:00Z,Hagebro (001762),0.46005611419677983
2021-01-05T05:30:00Z,Karup By (054764),0.280501976013184
2021-01-05T05:30:00Z,Hagebro (001762),0.4598500442504907
2021-01-05T05:15:00Z,Karup By (054764),0.278617515563965
2021-01-05T05:15:00Z,Hagebro (001762),0.4618507766723603
2021-01-05T05:00:00Z,Karup By (054764),0.281325874328613
2021-01-05T05:00:00Z,Hagebro (001762),0.46159019470215057
2021-01-05T05:00:00Z,Nørkærbro (001767),-1.4636053009033199
2021-01-05T04:45:00Z,Karup By (054764),0.27941967010498003
2021-01-05T04:45:00Z,Hagebro (001762),0.4611951065063504
2021-01-05T04:45:00Z,Nørkærbro (001767),-1.4628426666259768
2021-01-05T04:30:00Z,Karup By (054764),0.27887783050537096
2021-01-05T04:30:00Z,Hagebro (001762),0.46086524963379105
2021-01-05T04:30:00Z,Nørkærbro (001767),-1.4653013153076166
2021-01-05T04:15:00Z,Karup By (054764),0.280331535339355
2021-01-05T04:15:00Z,Hagebro (001762),0.46136848449707024
2021-01-05T04:15:00Z,Nørkærbro (001767),-1.4641287536621088
2021-01-05T04:00:00Z,Karup By (054764),0.278494148254395
2021-01-05T04:00:00Z,Hagebro (001762),0.4645896911621108
2021-01-05T04:00:00Z,Nørkærbro (001767),-1.4633040161132809
2021-01-05T03:45:00Z,Karup By (054764),0.275277061462402
2021-01-05T03:45:00Z,Hagebro (001762),0.46318336486816136
2021-01-05T03:45:00Z,Nørkærbro (001767),-1.4637476654052728
2021-01-05T03:30:00Z,Karup By (054764),0.27951221466064496
2021-01-05T03:30:00Z,Hagebro (001762),0.45964370727539183
2021-01-05T03:30:00Z,Nørkærbro (001767),-1.464737503051758
2021-01-05T03:15:00Z,Karup By (054764),0.279472236633301
2021-01-05T03:15:00Z,Hagebro (001762),0.46452037811278934
2021-01-05T03:15:00Z,Nørkærbro (001767),-1.461744720458984
2021-01-05T03:00:00Z,Karup By (054764),0.279379844665527
2021-01-05T03:00:00Z,Hagebro (001762),0.46341083526611015
2021-01-05T03:00:00Z,Nørkærbro (001767),-1.4631593627929687
2021-01-05T02:45:00Z,Karup By (054764),0.27737728118896504
2021-01-05T02:45:00Z,Hagebro (001762),0.4615171051025424
2021-01-05T02:45:00Z,Nørkærbro (001767),-1.4619952697753908
2021-01-05T02:30:00Z,Karup By (054764),0.27648105621337904
2021-01-05T02:30:00Z,Hagebro (001762),0.4616117477416992
2021-01-05T02:30:00Z,Nørkærbro (001767),-1.4638132781982418
2021-01-05T02:15:00Z,Karup By (054764),0.277887992858887
2021-01-05T02:15:00Z,Hagebro (001762),0.4616373062133814
2021-01-05T02:15:00Z,Nørkærbro (001767),-1.4618779296874997
2021-01-05T02:00:00Z,Karup By (054764),0.27683605194091804
2021-01-05T02:00:00Z,Hagebro (001762),0.461433677673341
2021-01-05T02:00:00Z,Nørkærbro (001767),-1.4630572052001947
2021-01-05T01:45:00Z,Karup By (054764),0.277780876159668
2021-01-05T01:45:00Z,Hagebro (001762),0.4619036483764596
2021-01-05T01:45:00Z,Nørkærbro (001767),-1.4632928771972658
2021-01-05T01:30:00Z,Karup By (054764),0.27656558990478497
2021-01-05T01:30:00Z,Hagebro (001762),0.460260925292971
2021-01-05T01:30:00Z,Nørkærbro (001767),-1.4645502777099608
2021-01-05T01:15:00Z,Karup By (054764),0.277915992736816
2021-01-05T01:15:00Z,Hagebro (001762),0.46490467071533104
2021-01-05T01:15:00Z,Nørkærbro (001767),-1.4642977447509768
2021-01-05T01:00:00Z,Karup By (054764),0.27986804962158196
2021-01-05T01:00:00Z,Hagebro (001762),0.46295120239258125
2021-01-05T01:00:00Z,Nørkærbro (001767),-1.462365676879883
2021-01-05T00:45:00Z,Karup By (054764),0.27889530181884803
2021-01-05T00:45:00Z,Hagebro (001762),0.46444927215576115
2021-01-05T00:45:00Z,Nørkærbro (001767),-1.4632301635742189
2021-01-05T00:30:00Z,Karup By (054764),0.27585384368896504
2021-01-05T00:30:00Z,Hagebro (001762),0.46386852264403977
2021-01-05T00:30:00Z,Nørkærbro (001767),-1.463421585083008
2021-01-05T00:15:00Z,Karup By (054764),0.27763195037841804
2021-01-05T00:15:00Z,Hagebro (001762),0.46350658416748125
2021-01-05T00:15:00Z,Nørkærbro (001767),-1.4633921356201167
2021-01-05T00:00:00Z,Karup By (054764),0.280076866149902
2021-01-05T00:00:00Z,Hagebro (001762),0.4635571670532208
2021-01-05T00:00:00Z,Nørkærbro (001767),-1.4627841491699218
2021-01-04T23:45:00Z,Karup By (054764),0.274945182800293
2021-01-04T23:45:00Z,Hagebro (001762),0.460380973815921
2021-01-04T23:45:00Z,Nørkærbro (001767),-1.4637639160156248
2021-01-04T23:30:00Z,Karup By (054764),0.277773094177246
2021-01-04T23:30:00Z,Hagebro (001762),0.462281112670901
2021-01-04T23:30:00Z,Nørkærbro (001767),-1.464229385375977
2021-01-04T23:15:00Z,Karup By (054764),0.279547920227051
2021-01-04T23:15:00Z,Hagebro (001762),0.46287082672118984
2021-01-04T23:15:00Z,Nørkærbro (001767),-1.4636858673095698
2021-01-04T23:00:00Z,Karup By (054764),0.279123497009277
2021-01-04T23:00:00Z,Hagebro (001762),0.4628764343261711
2021-01-04T23:00:00Z,Nørkærbro (001767),-1.4617721862792967
2021-01-04T22:45:00Z,Karup By (054764),0.279147071838379
2021-01-04T22:45:00Z,Hagebro (001762),0.46349899291992
2021-01-04T22:45:00Z,Nørkærbro (001767),-1.4622526855468747
2021-01-04T22:30:00Z,Karup By (054764),0.277580757141113
2021-01-04T22:30:00Z,Hagebro (001762),0.46474937438965114
2021-01-04T22:30:00Z,Nørkærbro (001767),-1.4624085540771479
2021-01-04T22:15:00Z,Karup By (054764),0.277336692810059
2021-01-04T22:15:00Z,Hagebro (001762),0.46111183166504155
2021-01-04T22:15:00Z,Nørkærbro (001767),-1.460573303222656
2021-01-04T22:00:00Z,Karup By (054764),0.279059104919434
2021-01-04T22:00:00Z,Hagebro (001762),0.46279014587402045
2021-01-04T22:00:00Z,Nørkærbro (001767),-1.4602988739013667
2021-01-04T21:45:00Z,Karup By (054764),0.27585628509521504
2021-01-04T21:45:00Z,Hagebro (001762),0.46247226715088097
2021-01-04T21:45:00Z,Nørkærbro (001767),-1.460210296630859
2021-01-04T21:30:00Z,Karup By (054764),0.277849388122559
2021-01-04T21:30:00Z,Hagebro (001762),0.46315483093262166
2021-01-04T21:30:00Z,Nørkærbro (001767),-1.4614303131103519
2021-01-04T21:15:00Z,Karup By (054764),0.28060596466064497
2021-01-04T21:15:00Z,Hagebro (001762),0.4645939254760716
2021-01-04T21:15:00Z,Nørkærbro (001767),-1.461807739257812
2021-01-04T21:00:00Z,Karup By (054764),0.276727867126465
2021-01-04T21:00:00Z,Hagebro (001762),0.459899597167972
2021-01-04T21:00:00Z,Nørkærbro (001767),-1.4609762878417967
2021-01-04T20:45:00Z,Karup By (054764),0.27798297882080103
2021-01-04T20:45:00Z,Hagebro (001762),0.46528820037842067
2021-01-04T20:45:00Z,Nørkærbro (001767),-1.4590426177978517
2021-01-04T20:30:00Z,Karup By (054764),0.277899513244629
2021-01-04T20:30:00Z,Hagebro (001762),0.4616318130493209
2021-01-04T20:30:00Z,Nørkærbro (001767),-1.4599585266113277
2021-01-04T20:15:00Z,Karup By (054764),0.277958946228027
2021-01-04T20:15:00Z,Hagebro (001762),0.4627835845947317
2021-01-04T20:15:00Z,Nørkærbro (001767),-1.4595081634521478
2021-01-04T20:00:00Z,Karup By (054764),0.280886421203613
2021-01-04T20:00:00Z,Hagebro (001762),0.46462463378906094
2021-01-04T20:00:00Z,Nørkærbro (001767),-1.4593961639404298
2021-01-04T19:45:00Z,Karup By (054764),0.28106388092041
2021-01-04T19:45:00Z,Hagebro (001762),0.4628594207763719
2021-01-04T19:45:00Z,Nørkærbro (001767),-1.4597467346191408
2021-01-04T19:30:00Z,Karup By (054764),0.27950641632080103
2021-01-04T19:30:00Z,Hagebro (001762),0.4631756210327094
2021-01-04T19:30:00Z,Nørkærbro (001767),-1.4600930328369137
2021-01-04T19:15:00Z,Karup By (054764),0.28018764495849596
2021-01-04T19:15:00Z,Hagebro (001762),0.4662737274169917
2021-01-04T19:15:00Z,Nørkærbro (001767),-1.4616154022216798
2021-01-04T19:00:00Z,Karup By (054764),0.281705589294434
2021-01-04T19:00:00Z,Hagebro (001762),0.46292034149169936
2021-01-04T19:00:00Z,Nørkærbro (001767),-1.4569724578857417
2021-01-04T18:45:00Z,Karup By (054764),0.281568565368652
2021-01-04T18:45:00Z,Hagebro (001762),0.4631396102905292
2021-01-04T18:45:00Z,Nørkærbro (001767),-1.4578522033691408
2021-01-04T18:30:00Z,Karup By (054764),0.282410316467285
2021-01-04T18:30:00Z,Hagebro (001762),0.4672123336791998
2021-01-04T18:30:00Z,Nørkærbro (001767),-1.4574113006591798
2021-01-04T18:15:00Z,Karup By (054764),0.284446754455566
2021-01-04T18:15:00Z,Hagebro (001762),0.4631576919555709
2021-01-04T18:15:00Z,Nørkærbro (001767),-1.4587277526855469
2021-01-04T18:00:00Z,Karup By (054764),0.282140007019043
2021-01-04T18:00:00Z,Hagebro (001762),0.46119739532471193
2021-01-04T18:00:00Z,Nørkærbro (001767),-1.4579692382812497
2021-01-04T17:45:00Z,Karup By (054764),0.28310825347900404
2021-01-04T17:45:00Z,Hagebro (001762),0.4667110443115199
2021-01-04T17:45:00Z,Nørkærbro (001767),-1.458898803710937
2021-01-04T17:30:00Z,Karup By (054764),0.28395084381103497
2021-01-04T17:30:00Z,Hagebro (001762),0.4623575210571307
2021-01-04T17:30:00Z,Nørkærbro (001767),-1.4564059753417968
2021-01-04T17:15:00Z,Karup By (054764),0.28217342376709004
2021-01-04T17:15:00Z,Hagebro (001762),0.4642727279663106
2021-01-04T17:15:00Z,Nørkærbro (001767),-1.4576721496582028
2021-01-04T17:00:00Z,Karup By (054764),0.285580787658691
2021-01-04T17:00:00Z,Hagebro (001762),0.4667010116577206
2021-01-04T17:00:00Z,Nørkærbro (001767),-1.4563181610107416
2021-01-04T16:45:00Z,Karup By (054764),0.284548606872559
2021-01-04T16:45:00Z,Hagebro (001762),0.4654080963134817
2021-01-04T16:45:00Z,Nørkærbro (001767),-1.456698333740234
2021-01-04T16:30:00Z,Karup By (054764),0.283465309143066
2021-01-04T16:30:00Z,Hagebro (001762),0.46647052764893004
2021-01-04T16:30:00Z,Nørkærbro (001767),-1.4555808563232417
2021-01-04T16:15:00Z,Karup By (054764),0.28309169769287096
2021-01-04T16:15:00Z,Hagebro (001762),0.46607166290283075
2021-01-04T16:15:00Z,Nørkærbro (001767),-1.455869323730469
2021-01-04T16:00:00Z,Karup By (054764),0.28271411895751997
2021-01-04T16:00:00Z,Hagebro (001762),0.4631765365600611
2021-01-04T16:00:00Z,Nørkærbro (001767),-1.4550540466308588
2021-01-04T15:45:00Z,Karup By (054764),0.284992866516113
2021-01-04T15:45:00Z,Hagebro (001762),0.4655147552490213
2021-01-04T15:45:00Z,Nørkærbro (001767),-1.4551507110595698
2021-01-04T15:30:00Z,Karup By (054764),0.284343605041504
2021-01-04T15:30:00Z,Hagebro (001762),0.4648315811157211
2021-01-04T15:30:00Z,Nørkærbro (001767),-1.4557033843994138
2021-01-04T15:15:00Z,Karup By (054764),0.28340229034423803
2021-01-04T15:15:00Z,Hagebro (001762),0.466192436218261
2021-01-04T15:15:00Z,Nørkærbro (001767),-1.454135543823242
2021-01-04T15:00:00Z,Karup By (054764),0.284808692932129
2021-01-04T15:00:00Z,Hagebro (001762),0.4654029083252009
2021-01-04T15:00:00Z,Nørkærbro (001767),-1.4548925323486328
2021-01-04T14:45:00Z,Karup By (054764),0.283656349182129
2021-01-04T14:45:00Z,Hagebro (001762),0.4651377487182611
2021-01-04T14:45:00Z,Nørkærbro (001767),-1.4544771118164057
2021-01-04T14:30:00Z,Karup By (054764),0.28395214080810505
2021-01-04T14:30:00Z,Hagebro (001762),0.46880752563476946
2021-01-04T14:30:00Z,Nørkærbro (001767),-1.453117630004883
2021-01-04T14:15:00Z,Karup By (054764),0.283892631530762
2021-01-04T14:15:00Z,Hagebro (001762),0.4653622055053699
2021-01-04T14:15:00Z,Nørkærbro (001767),-1.453369400024414
2021-01-04T14:00:00Z,Karup By (054764),0.28841053009033196
