Date,Place,Level
2020-04-01T17:00:00Z,Karup By,NA
2020-04-01T17:00:00Z,Nørkærbro,NA
2020-04-01T17:00:00Z,Hagebro,0.038538882905679306
2020-04-01T16:45:00Z,Karup By,NA
2020-04-01T16:45:00Z,Nørkærbro,NA
2020-04-01T16:45:00Z,Hagebro,0.03981451767127908
2020-04-01T16:30:00Z,Karup By,NA
2020-04-01T16:30:00Z,Nørkærbro,NA
2020-04-01T16:30:00Z,Hagebro,0.03798247116247844
2020-04-01T16:15:00Z,Karup By,NA
2020-04-01T16:15:00Z,Nørkærbro,NA
2020-04-01T16:15:00Z,Hagebro,0.0413595463577795
2020-04-01T16:00:00Z,Karup By,NA
2020-04-01T16:00:00Z,Nørkærbro,NA
2020-04-01T16:00:00Z,Hagebro,0.04097800033727872
2020-04-01T15:45:00Z,Karup By,NA
2020-04-01T15:45:00Z,Nørkærbro,NA
2020-04-01T15:45:00Z,Hagebro,0.04125441330117774
2020-04-01T15:30:00Z,Karup By,NA
2020-04-01T15:30:00Z,Nørkærbro,NA
2020-04-01T15:30:00Z,Hagebro,0.03846594589387842
2020-04-01T15:15:00Z,Karup By,NA
2020-04-01T15:15:00Z,Nørkærbro,NA
2020-04-01T15:15:00Z,Hagebro,0.043987987214680335
2020-04-01T15:00:00Z,Karup By,NA
2020-04-01T15:00:00Z,Nørkærbro,NA
2020-04-01T15:00:00Z,Hagebro,0.04081965225377815
2020-04-01T14:45:00Z,Karup By,NA
2020-04-01T14:45:00Z,Nørkærbro,NA
2020-04-01T14:45:00Z,Hagebro,0.03849879043737936
2020-04-01T14:30:00Z,Karup By,NA
2020-04-01T14:30:00Z,Nørkærbro,NA
2020-04-01T14:30:00Z,Hagebro,0.041566188508679436
2020-04-01T14:15:00Z,Karup By,NA
2020-04-01T14:15:00Z,Nørkærbro,NA
2020-04-01T14:15:00Z,Hagebro,0.04009501236117885
2020-04-01T14:00:00Z,Karup By,NA
2020-04-01T14:00:00Z,Nørkærbro,NA
2020-04-01T14:00:00Z,Hagebro,0.0399968602005788
2020-04-01T13:45:00Z,Karup By,NA
2020-04-01T13:45:00Z,Nørkærbro,NA
2020-04-01T13:45:00Z,Hagebro,0.04301489608917841
2020-04-01T13:30:00Z,Karup By,NA
2020-04-01T13:30:00Z,Nørkærbro,NA
2020-04-01T13:30:00Z,Hagebro,0.040305316621478515
2020-04-01T13:15:00Z,Karup By,NA
2020-04-01T13:15:00Z,Nørkærbro,NA
2020-04-01T13:15:00Z,Hagebro,0.037537868196179436
2020-04-01T13:00:00Z,Karup By,NA
2020-04-01T13:00:00Z,Nørkærbro,NA
2020-04-01T13:00:00Z,Hagebro,0.04128920334017849
