Date,Place,YGroup,Level,LevelRelative
2020-12-13T02:51:30Z,Hagebro,2012,62.7,-3.5
2020-12-13T06:51:30Z,Hagebro,2012,62.4,-3.7
2020-12-13T07:21:30Z,Hagebro,2012,62.3,-3.9
2020-12-13T10:44:00Z,Hagebro,2012,61.9,-4.2
2020-12-13T11:14:00Z,Hagebro,2012,61.7,-4.4
2020-12-13T15:29:00Z,Hagebro,2012,61.6,-4.5
2020-12-15T02:59:00Z,Hagebro,2012,61.4,-4.8
2020-12-15T03:36:30Z,Hagebro,2012,61.5,-4.7
2020-12-15T04:36:30Z,Hagebro,2012,61.6,-4.6
2020-12-15T05:29:00Z,Hagebro,2012,61.7,-4.5
2020-12-13T00:24:00Z,Hagebro,2013,70.1,4
2020-12-13T01:31:30Z,Hagebro,2013,70.1,4
2020-12-13T02:31:30Z,Hagebro,2013,70.1,4
2020-12-13T03:31:30Z,Hagebro,2013,70.1,4
2020-12-13T04:31:30Z,Hagebro,2013,69.9,3.8
2020-12-13T05:31:30Z,Hagebro,2013,69.9,3.8
2020-12-13T06:31:30Z,Hagebro,2013,69.6,3.5
2020-12-13T07:31:30Z,Hagebro,2013,69.6,3.5
2020-12-13T08:31:30Z,Hagebro,2013,69.5,3.4
2020-12-13T09:31:30Z,Hagebro,2013,69.4,3.3
2020-12-13T10:31:30Z,Hagebro,2013,69.4,3.3
2020-12-13T11:31:30Z,Hagebro,2013,69.4,3.3
2020-12-13T12:31:30Z,Hagebro,2013,69.4,3.3
2020-12-13T13:31:30Z,Hagebro,2013,69.4,3.3
2020-12-13T14:31:30Z,Hagebro,2013,69.3,3.2
2020-12-13T15:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T16:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T17:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T18:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T19:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T20:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T21:31:30Z,Hagebro,2013,69.2,3.1
2020-12-13T22:31:30Z,Hagebro,2013,69.2,3.1
