Date,Place,Level
2019-12-31T11:30:00Z,Hagebro,6.1
2019-12-30T06:30:00Z,Hagebro,5.9
2019-12-29T01:30:00Z,Hagebro,4.2
2019-12-27T20:30:00Z,Hagebro,4.5
2019-12-26T15:30:00Z,Hagebro,5.7
2019-12-25T10:30:00Z,Hagebro,6.4
2019-12-24T05:30:00Z,Hagebro,6.5
2019-12-23T00:30:00Z,Hagebro,6.4
2019-12-21T19:30:00Z,Hagebro,6.5
2019-12-20T14:30:00Z,Hagebro,5.7
2019-12-19T09:30:00Z,Hagebro,5.5
2019-12-18T04:30:00Z,Hagebro,6
2019-12-16T23:30:00Z,Hagebro,5.2
2019-12-15T18:30:00Z,Hagebro,5.2
2019-12-14T13:30:00Z,Hagebro,5.2
