Date,Place,Value
2024-01-01T04:30:00Z,Hagebro,5.6
2024-01-01T04:20:00Z,Hagebro,5.6
2024-01-01T04:10:00Z,Hagebro,5.6
2024-01-01T04:00:00Z,Hagebro,5.6
2024-01-01T03:50:00Z,Hagebro,5.6
2024-01-01T03:40:00Z,Hagebro,5.6
2024-01-01T03:30:00Z,Hagebro,5.6
2024-01-01T03:20:00Z,Hagebro,5.6
2024-01-01T03:10:00Z,Hagebro,5.6
2024-01-01T03:00:00Z,Hagebro,5.6
2024-01-01T02:50:00Z,Hagebro,5.6
2024-01-01T02:40:00Z,Hagebro,5.6
2024-01-01T02:30:00Z,Hagebro,5.6
2024-01-01T02:20:00Z,Hagebro,5.6
2024-01-01T02:10:00Z,Hagebro,5.6
2024-01-01T02:00:00Z,Hagebro,5.6
2024-01-01T01:50:00Z,Hagebro,5.6
2024-01-01T01:40:00Z,Hagebro,5.6
2024-01-01T01:30:00Z,Hagebro,5.6
2024-01-01T01:20:00Z,Hagebro,5.6
2024-01-01T01:10:00Z,Hagebro,5.7
2024-01-01T01:00:00Z,Hagebro,5.7
2024-01-01T00:50:00Z,Hagebro,5.7
2024-01-01T00:40:00Z,Hagebro,5.7
2024-01-01T00:30:00Z,Hagebro,5.7
2024-01-01T00:20:00Z,Hagebro,5.7
2024-01-01T00:10:00Z,Hagebro,5.7
2024-01-01T00:00:00Z,Hagebro,5.7
