Date,Place,YGroup,Temp
2020-11-01T02:30:00Z,Hagebro,2020,9.9
2020-11-02T07:30:00Z,Hagebro,2020,10.9
2020-11-03T12:30:00Z,Hagebro,2020,10.3
2020-11-04T17:30:00Z,Hagebro,2020,8.8
2020-11-05T22:30:00Z,Hagebro,2020,9.2
2020-11-07T03:30:00Z,Hagebro,2020,9.9
2020-11-08T08:30:00Z,Hagebro,2020,8.2
2020-11-09T13:30:00Z,Hagebro,2020,8.2
2020-11-10T18:30:00Z,Hagebro,2020,8.5
2020-11-11T23:30:00Z,Hagebro,2020,8
2020-11-13T04:30:00Z,Hagebro,2020,8.3
2020-11-14T09:30:00Z,Hagebro,2020,7.6
2020-11-15T14:30:00Z,Hagebro,2020,9.2
2020-10-31T22:00:00Z,Hagebro,2021,9.6
2020-11-02T03:00:00Z,Hagebro,2021,9.1
2020-11-03T08:00:00Z,Hagebro,2021,7.4
2020-11-04T13:00:00Z,Hagebro,2021,7.2
2020-11-05T18:00:00Z,Hagebro,2021,7.5
2020-11-06T23:00:00Z,Hagebro,2021,8.7
2020-11-08T04:00:00Z,Hagebro,2021,8
2020-11-09T09:00:00Z,Hagebro,2021,8.1
2020-11-10T14:00:00Z,Hagebro,2021,9.9
2020-11-11T19:00:00Z,Hagebro,2021,8.7
2020-11-13T00:00:00Z,Hagebro,2021,8.2
2020-11-14T05:00:00Z,Hagebro,2021,8.3
2020-11-15T10:00:00Z,Hagebro,2021,8.2
2020-10-31T00:25:00Z,Hagebro,2023,9.2
2020-10-31T01:25:00Z,Hagebro,2023,9.2
2020-10-31T02:25:00Z,Hagebro,2023,9.1
2020-10-31T03:25:00Z,Hagebro,2023,9
2020-10-31T04:25:00Z,Hagebro,2023,8.9
2020-10-31T05:25:00Z,Hagebro,2023,8.8
2020-10-31T06:25:00Z,Hagebro,2023,8.8
2020-10-31T07:25:00Z,Hagebro,2023,8.7
2020-10-31T08:25:00Z,Hagebro,2023,8.6
2020-10-31T09:25:00Z,Hagebro,2023,8.6
2020-10-31T10:25:00Z,Hagebro,2023,8.6
2020-10-31T11:25:00Z,Hagebro,2023,8.5
2020-10-31T12:25:00Z,Hagebro,2023,8.5
2020-10-31T13:25:00Z,Hagebro,2023,8.5
2020-10-31T14:25:00Z,Hagebro,2023,8.4
2020-10-31T15:25:00Z,Hagebro,2023,8.4
2020-10-31T16:25:00Z,Hagebro,2023,8.3
2020-10-31T17:25:00Z,Hagebro,2023,8.2
2020-10-31T18:25:00Z,Hagebro,2023,8.1
2020-10-31T19:25:00Z,Hagebro,2023,8
2020-10-31T20:25:00Z,Hagebro,2023,7.8
2020-10-31T21:25:00Z,Hagebro,2023,7.7
2020-10-31T22:25:00Z,Hagebro,2023,7.6
2020-10-31T23:25:00Z,Hagebro,2023,7.4
2020-11-01T00:25:00Z,Hagebro,2023,7.3
2020-11-01T01:25:00Z,Hagebro,2023,7.2
2020-11-01T02:25:00Z,Hagebro,2023,7
2020-11-01T03:25:00Z,Hagebro,2023,6.9
2020-11-01T04:25:00Z,Hagebro,2023,6.8
2020-11-01T05:25:00Z,Hagebro,2023,6.7
2020-11-01T06:25:00Z,Hagebro,2023,6.6
2020-11-01T07:25:00Z,Hagebro,2023,6.5
2020-11-01T08:25:00Z,Hagebro,2023,6.5
2020-11-01T09:25:00Z,Hagebro,2023,6.5
2020-11-01T10:25:00Z,Hagebro,2023,6.5
2020-11-01T11:25:00Z,Hagebro,2023,6.6
2020-11-01T12:25:00Z,Hagebro,2023,6.6
2020-11-01T13:25:00Z,Hagebro,2023,6.6
2020-11-01T14:25:00Z,Hagebro,2023,6.6
2020-11-01T15:25:00Z,Hagebro,2023,6.6
2020-11-01T16:25:00Z,Hagebro,2023,6.6
2020-11-01T17:25:00Z,Hagebro,2023,6.6
2020-11-01T18:25:00Z,Hagebro,2023,6.7
2020-11-01T19:25:00Z,Hagebro,2023,6.7
2020-11-01T20:25:00Z,Hagebro,2023,6.8
2020-11-01T21:25:00Z,Hagebro,2023,6.9
2020-11-01T22:25:00Z,Hagebro,2023,7
2020-11-01T23:25:00Z,Hagebro,2023,7
2020-11-02T00:25:00Z,Hagebro,2023,7.1
2020-11-02T01:25:00Z,Hagebro,2023,7.2
2020-11-02T02:25:00Z,Hagebro,2023,7.2
2020-11-02T03:25:00Z,Hagebro,2023,7.3
2020-11-02T04:25:00Z,Hagebro,2023,7.4
