Længde,Forår/Som,Efterår,Vinter
40,"0.7 [ 0.6, 0.9]","0.7 [ 0.6, 0.9]","0.6 [0.5, 0.7]"
41,"0.8 [ 0.6, 1.0]","0.8 [ 0.6, 1.0]","0.6 [0.5, 0.8]"
42,"0.9 [ 0.7, 1.1]","0.8 [ 0.7, 1.0]","0.7 [0.5, 0.8]"
43,"0.9 [ 0.7, 1.2]","0.9 [ 0.7, 1.1]","0.7 [0.6, 0.9]"
44,"1.0 [ 0.8, 1.2]","1.0 [ 0.8, 1.2]","0.8 [0.6, 1.0]"
45,"1.1 [ 0.9, 1.3]","1.0 [ 0.8, 1.3]","0.8 [0.7, 1.0]"
46,"1.1 [ 0.9, 1.4]","1.1 [ 0.9, 1.4]","0.9 [0.7, 1.1]"
47,"1.2 [ 1.0, 1.5]","1.2 [ 0.9, 1.5]","0.9 [0.8, 1.2]"
48,"1.3 [ 1.0, 1.6]","1.2 [ 1.0, 1.5]","1.0 [0.8, 1.3]"
49,"1.4 [ 1.1, 1.7]","1.3 [ 1.1, 1.6]","1.1 [0.9, 1.3]"
50,"1.5 [ 1.2, 1.8]","1.4 [ 1.1, 1.8]","1.1 [0.9, 1.4]"
51,"1.6 [ 1.3, 2.0]","1.5 [ 1.2, 1.9]","1.2 [1.0, 1.5]"
52,"1.7 [ 1.3, 2.1]","1.6 [ 1.3, 2.0]","1.3 [1.0, 1.6]"
53,"1.8 [ 1.4, 2.2]","1.7 [ 1.3, 2.1]","1.3 [1.1, 1.7]"
54,"1.9 [ 1.5, 2.3]","1.8 [ 1.4, 2.2]","1.4 [1.1, 1.8]"
55,"2.0 [ 1.6, 2.5]","1.9 [ 1.5, 2.3]","1.5 [1.2, 1.9]"
56,"2.1 [ 1.7, 2.6]","2.0 [ 1.6, 2.5]","1.6 [1.3, 2.0]"
57,"2.2 [ 1.8, 2.8]","2.1 [ 1.7, 2.6]","1.7 [1.3, 2.1]"
58,"2.3 [ 1.9, 2.9]","2.2 [ 1.8, 2.7]","1.7 [1.4, 2.2]"
59,"2.5 [ 2.0, 3.1]","2.3 [ 1.9, 2.9]","1.8 [1.5, 2.3]"
60,"2.6 [ 2.1, 3.2]","2.4 [ 1.9, 3.0]","1.9 [1.5, 2.4]"
61,"2.7 [ 2.2, 3.4]","2.6 [ 2.0, 3.2]","2.0 [1.6, 2.5]"
62,"2.9 [ 2.3, 3.6]","2.7 [ 2.2, 3.4]","2.1 [1.7, 2.6]"
63,"3.0 [ 2.4, 3.7]","2.8 [ 2.3, 3.5]","2.2 [1.8, 2.8]"
64,"3.2 [ 2.5, 3.9]","3.0 [ 2.4, 3.7]","2.3 [1.9, 2.9]"
65,"3.3 [ 2.6, 4.1]","3.1 [ 2.5, 3.9]","2.4 [1.9, 3.0]"
66,"3.5 [ 2.8, 4.3]","3.2 [ 2.6, 4.0]","2.5 [2.0, 3.2]"
67,"3.6 [ 2.9, 4.5]","3.4 [ 2.7, 4.2]","2.6 [2.1, 3.3]"
68,"3.8 [ 3.0, 4.7]","3.6 [ 2.8, 4.4]","2.8 [2.2, 3.4]"
69,"4.0 [ 3.2, 5.0]","3.7 [ 3.0, 4.6]","2.9 [2.3, 3.6]"
70,"4.2 [ 3.3, 5.2]","3.9 [ 3.1, 4.8]","3.0 [2.4, 3.8]"
71,"4.3 [ 3.5, 5.4]","4.0 [ 3.2, 5.0]","3.1 [2.5, 3.9]"
72,"4.5 [ 3.6, 5.7]","4.2 [ 3.4, 5.3]","3.3 [2.6, 4.1]"
73,"4.7 [ 3.8, 5.9]","4.4 [ 3.5, 5.5]","3.4 [2.7, 4.2]"
74,"4.9 [ 3.9, 6.1]","4.6 [ 3.7, 5.7]","3.5 [2.8, 4.4]"
75,"5.1 [ 4.1, 6.4]","4.8 [ 3.8, 6.0]","3.7 [2.9, 4.6]"
76,"5.3 [ 4.3, 6.7]","5.0 [ 4.0, 6.2]","3.8 [3.1, 4.8]"
77,"5.6 [ 4.5, 6.9]","5.2 [ 4.1, 6.5]","4.0 [3.2, 5.0]"
78,"5.8 [ 4.6, 7.2]","5.4 [ 4.3, 6.7]","4.1 [3.3, 5.1]"
79,"6.0 [ 4.8, 7.5]","5.6 [ 4.5, 7.0]","4.3 [3.4, 5.3]"
80,"6.3 [ 5.0, 7.8]","5.8 [ 4.6, 7.2]","4.4 [3.6, 5.5]"
81,"6.5 [ 5.2, 8.1]","6.0 [ 4.8, 7.5]","4.6 [3.7, 5.7]"
82,"6.8 [ 5.4, 8.4]","6.3 [ 5.0, 7.8]","4.8 [3.8, 5.9]"
83,"7.0 [ 5.6, 8.7]","6.5 [ 5.2, 8.1]","4.9 [4.0, 6.2]"
84,"7.3 [ 5.8, 9.1]","6.7 [ 5.4, 8.4]","5.1 [4.1, 6.4]"
85,"7.5 [ 6.0, 9.4]","7.0 [ 5.6, 8.7]","5.3 [4.2, 6.6]"
86,"7.8 [ 6.3, 9.8]","7.2 [ 5.8, 9.0]","5.5 [4.4, 6.8]"
87,"8.1 [ 6.5,10.1]","7.5 [ 6.0, 9.3]","5.7 [4.5, 7.1]"
88,"8.4 [ 6.7,10.5]","7.7 [ 6.2, 9.7]","5.9 [4.7, 7.3]"
89,"8.7 [ 7.0,10.8]","8.0 [ 6.4,10.0]","6.0 [4.8, 7.6]"
90,"9.0 [ 7.2,11.2]","8.3 [ 6.6,10.3]","6.2 [5.0, 7.8]"
91,"9.3 [ 7.5,11.6]","8.6 [ 6.9,10.7]","6.5 [5.2, 8.1]"
92,"9.6 [ 7.7,12.0]","8.8 [ 7.1,11.0]","6.7 [5.3, 8.3]"
93,"9.9 [ 8.0,12.4]","9.1 [ 7.3,11.4]","6.9 [5.5, 8.6]"
94,"10.3 [ 8.2,12.8]","9.4 [ 7.6,11.8]","7.1 [5.7, 8.9]"
95,"10.6 [ 8.5,13.2]","9.7 [ 7.8,12.2]","7.3 [5.9, 9.1]"
96,"11.0 [ 8.8,13.7]","10.1 [ 8.1,12.6]","7.5 [6.0, 9.4]"
97,"11.3 [ 9.1,14.1]","10.4 [ 8.3,13.0]","7.8 [6.2, 9.7]"
98,"11.7 [ 9.4,14.6]","10.7 [ 8.6,13.4]","8.0 [6.4,10.0]"
99,"12.0 [ 9.7,15.0]","11.0 [ 8.8,13.8]","8.2 [6.6,10.3]"
100,"12.4 [10.0,15.5]","11.4 [ 9.1,14.2]","8.5 [6.8,10.6]"
101,"12.8 [10.3,16.0]","11.7 [ 9.4,14.6]","8.7 [7.0,10.9]"
102,"13.2 [10.6,16.5]","12.1 [ 9.7,15.1]","9.0 [7.2,11.2]"
103,"13.6 [10.9,17.0]","12.4 [10.0,15.5]","9.3 [7.4,11.6]"
104,"14.0 [11.2,17.5]","12.8 [10.3,16.0]","9.5 [7.6,11.9]"
