Group,Desc,Text,long,lat,Club,Icon
Info,Spang,NA,8.8223625,56.3220016,MV-LF,footbridge.png
Parkering og ruter,Parkering - Sammelstedvej 1,"Parkering ved den nordlige ende af ejendommen Sammelstedvej nr.1 ved læhegnet ud til vejen. POS: 56.24845, 8.88566",8.88566,56.24845,MV-LF,park.png
Parkering og ruter,Parkering (Brohusvej 5),"Kør ned mod ejendommen Brohusvej nr 5. Parkeringsplads er langs laden på venstre side. POS: 56.28229, 8.8699",8.869904,56.28229,MV-LF,park.png
Parkering og ruter,Parkering (Brohusvej 3),"Kør af markvej mod Brohusvej nr 3 (sommerhus). Parkeringspladsen er til venstre inden nedkørslen til huset. POS: 56.28848, 8.87019",8.870194,56.288483,MV-LF,park.png
Parkering og ruter,Parkering - Hallundbæk Bro,"På nordvest siden af Hallundbæk Bro er parkeringspladsen. POS: 56.29308, 8.8691",8.86911,56.29308,MV-LF,park.png
Parkering og ruter,Parkering - Toppergårdvej 5,"Lidt nord for ejendommen Toppergårdvej 5, er der på modsatte side af vejen en markvej, der går ned til åen. For enden af markvejen ligger parkeringspladsen. POS: 56.30233, 8.86479",8.864797,56.302337,MV-LF,park.png
Parkering og ruter,Parkering - Stovbæk Krat,"På østsiden af Rotvigvej, lidt syd for Gedbovej, går en markvej ned mod Stovbæk Krat hvor parkeringspladsen ligger. POS: 56.31259, 8.84768",8.847685,56.312591,MV-LF,park.png
Parkering og ruter,Parkering - Hodsager Kirke,"Parkér ved offentlig parkeringsplads ved Hodsager kirke. POS: 56.31385, 8.85523",8.855238,56.313859,MV-LF,park.png
Parkering og ruter,Parkering - Gedbovej 23,"I det østlige hjørne af gårdspladsen, ved ejendommen gedbovej nr. 23. POS: 56.31754, 8.83716",8.83716,56.317542,MV-LF,park.png
Parkering og ruter,Parkering - Lindholtevej 15,"På vest siden af ejendommen Lindholtevej nr. 15. POS: 56.31982, 8.81131",8.811314,56.319821,MV-LF,park.png
Parkering og ruter,Parkering - Hodsagervej 64,"Ca. 300 meter øst for Hodsagervej nr. 64, går en markvej mod syd (mod åen) og der er et læhegn til venstre. For enden af markvejen, er der en plads til venstre i mellem nogle grantræer inden engen. POS:  56.32287, 8.83257",8.832579,56.322879,MV-LF,park.png
Parkering og ruter,Parkering - Hodsagervej 62,"Kør af grusvejen til Hodsagervej nr. 62, drej til højre inden ejendommen mod kanopladsen. Fortsæt med markvejen der svinger til venstre. Parkeringsplads ved ""det sorte toiletskur"", inden kanopladsen. POS: 56.32351, 8.81061",8.810617,56.32351,MV-LF,park.png
Parkering og ruter,Parkering - Rotvig Bro,NA,8.844969,56.3143169,MV-LF,park.png
