Group,Desc,Text,long,lat,LineGroupId,Club
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9018655,55.9755152,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9021444,55.9754131,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9025414,55.9752931,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.902874,55.975167,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.903389,55.9750769,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9040434,55.9750769,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9045262,55.975143,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9045155,55.9753231,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9043546,55.9754552,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9041078,55.9756653,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9038396,55.9758634,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9037108,55.9760135,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9038289,55.9761635,101,HI-LF
