Group,Desc,Text,long,lat,Club,Icon
Sten,Gjaldbæk Stenen,NA,8.6305429,55.9396742,NA,rock.png
Sten,Møllers Rock,NA,8.5761015,55.942458,NA,rock.png
Sten,Øvre mose,NA,8.6016281,55.9406051,NA,rock.png
Sten,Skellet,NA,8.638865,55.9401966,NA,rock.png
Sten,Ved Rusen,NA,8.6480962,55.9439263,NA,rock.png
Sten,Shriffen,NA,8.6529027,55.9456186,NA,rock.png
Sten,Kyllingerne,NA,8.6665603,55.9560114,NA,rock.png
Sten,Hønens Plads,NA,8.6668165,55.9562975,NA,rock.png
Sten,Søren Larsens sten,NA,8.5922296,55.942618,NA,rock.png
Sten,Lågerne,NA,8.5908719,55.9416698,NA,rock.png
Sten,Gyvlen,NA,8.6410204,55.9419213,NA,rock.png
Sten,Egekrattet,NA,8.6820679,55.9593616,NA,rock.png
Sten,Perlerne,NA,8.7177773,55.9539757,NA,rock.png
Sten,Perlerne,NA,8.7176405,55.9541815,NA,rock.png
Sten,Perlerne,NA,8.7176003,55.9543677,NA,rock.png
Sten,Perlerne,NA,8.7179436,55.953755,NA,rock.png
Standpladser,Gjaldbæk sving,NA,8.6268618,55.9378718,NA,fish.png
Standpladser,Trampestien,"På denne strækning ned mod Gjaldbæk Bro er der lagt store sten ud i vandet. De er fine standpladser, og der gøres hvert år fine fangster netop her. Kan fiskes fra begge bredder, men er nok bedst fra sydsiden.",8.6337604,55.9396551,NA,fish.png
Standpladser,Lille Norge,NA,8.6218415,55.9392078,NA,fish.png
Standpladser,Store Sving for Sønden,NA,8.6196206,55.9383185,NA,fish.png
Standpladser,Nudisten,NA,8.6157754,55.9396858,NA,fish.png
Standpladser,Sølle Sving,NA,8.6168805,55.9400944,NA,fish.png
Standpladser,Lille sving,NA,8.614606,55.9392231,NA,fish.png
Standpladser,Ved Båden,NA,8.6132541,55.941206,NA,fish.png
Standpladser,Geddehullet,NA,8.6093489,55.9391875,NA,fish.png
