Date,Place,Value
2024-03-12T13:45:00Z,Laksens hus,101.47
2024-03-12T13:50:00Z,Laksens hus,101.474
2024-03-12T13:55:00Z,Laksens hus,101.469
2024-03-12T14:00:00Z,Laksens hus,101.474
2024-03-12T14:05:00Z,Laksens hus,101.473
2024-03-12T14:10:00Z,Laksens hus,101.469
2024-03-12T14:15:00Z,Laksens hus,101.468
2024-03-12T14:20:00Z,Laksens hus,101.468
2024-03-12T14:25:00Z,Laksens hus,101.468
2024-03-12T14:30:00Z,Laksens hus,101.47
2024-03-12T14:35:00Z,Laksens hus,101.468
2024-03-12T14:40:00Z,Laksens hus,101.47
2024-03-12T14:45:00Z,Laksens hus,101.476
2024-03-12T14:50:00Z,Laksens hus,101.479
2024-03-12T14:55:00Z,Laksens hus,101.482
2024-03-12T15:00:00Z,Laksens hus,101.477
2024-03-12T15:05:00Z,Laksens hus,101.478
2024-03-12T15:10:00Z,Laksens hus,101.479
2024-03-12T15:15:00Z,Laksens hus,101.487
2024-03-12T15:20:00Z,Laksens hus,101.485
2024-03-12T15:25:00Z,Laksens hus,101.483
2024-03-12T15:30:00Z,Laksens hus,101.481
2024-03-12T15:35:00Z,Laksens hus,101.48
2024-03-12T15:40:00Z,Laksens hus,101.476
2024-03-12T15:45:00Z,Laksens hus,101.475
2024-03-12T15:50:00Z,Laksens hus,101.475
2024-03-12T15:55:00Z,Laksens hus,101.478
2024-03-12T16:00:00Z,Laksens hus,101.476
2024-03-12T16:05:00Z,Laksens hus,101.48
2024-03-12T13:45:00Z,Laksens hus,101.47
2024-03-12T13:50:00Z,Laksens hus,101.474
2024-03-12T13:55:00Z,Laksens hus,101.469
2024-03-12T14:00:00Z,Laksens hus,101.474
2024-03-12T14:05:00Z,Laksens hus,101.473
