Date,Place,Level,LevelRelative
2021-01-23T07:00:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.256
2021-01-23T07:00:00Z,Skjern Å - Sandfeldvej (055414),1.556,0.442
2021-01-23T06:45:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.256
2021-01-23T06:45:00Z,Skjern Å - Sandfeldvej (055414),1.558,0.444
2021-01-23T06:30:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.256
2021-01-23T06:30:00Z,Skjern Å - Sandfeldvej (055414),1.559,0.445
2021-01-23T06:15:00Z,Vorgod Å - Vandmøllen (055416),1.265,0.258
2021-01-23T06:15:00Z,Skjern Å - Sandfeldvej (055414),1.562,0.448
2021-01-23T06:00:00Z,Vorgod Å - Vandmøllen (055416),1.264,0.257
2021-01-23T06:00:00Z,Skjern Å - Sandfeldvej (055414),1.563,0.449
2021-01-23T06:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.818,0.693
2021-01-23T06:00:00Z,Rind Å - Arnborg kirke (054757),1.687,0.741
2021-01-23T06:00:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T05:45:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.256
2021-01-23T05:45:00Z,Skjern Å - Sandfeldvej (055414),1.566,0.452
2021-01-23T05:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.829,0.704
2021-01-23T05:45:00Z,Rind Å - Arnborg kirke (054757),1.685,0.739
2021-01-23T05:45:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T05:30:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.256
2021-01-23T05:30:00Z,Skjern Å - Sandfeldvej (055414),1.567,0.453
2021-01-23T05:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.816,0.691
2021-01-23T05:30:00Z,Rind Å - Arnborg kirke (054757),1.681,0.735
2021-01-23T05:30:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T05:15:00Z,Vorgod Å - Vandmøllen (055416),1.26,0.253
2021-01-23T05:15:00Z,Skjern Å - Sandfeldvej (055414),1.569,0.455
2021-01-23T05:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.82,0.695
2021-01-23T05:15:00Z,Rind Å - Arnborg kirke (054757),1.699,0.753
2021-01-23T05:15:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T05:00:00Z,Vorgod Å - Vandmøllen (055416),1.262,0.255
2021-01-23T05:00:00Z,Skjern Å - Sandfeldvej (055414),1.57,0.456
2021-01-23T05:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.821,0.696
2021-01-23T05:00:00Z,Skjern Å - Alergaard (001862),-3.184,0.998
2021-01-23T05:00:00Z,Rind Å - Arnborg kirke (054757),1.697,0.751
2021-01-23T05:00:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T04:45:00Z,Vorgod Å - Vandmøllen (055416),1.261,0.254
2021-01-23T04:45:00Z,Skjern Å - Sandfeldvej (055414),1.573,0.459
2021-01-23T04:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.827,0.702
2021-01-23T04:45:00Z,Skjern Å - Alergaard (001862),-3.178,1.004
2021-01-23T04:45:00Z,Rind Å - Arnborg kirke (054757),1.698,0.752
2021-01-23T04:45:00Z,Omme Å - Sønderskov bro (001855),-1.12,0.431
2021-01-23T04:45:00Z,Fjederholt Å - A18 (052386),0.929,0.19
2021-01-23T04:30:00Z,Vorgod Å - Vandmøllen (055416),1.261,0.254
2021-01-23T04:30:00Z,Skjern Å - Sandfeldvej (055414),1.574,0.46
2021-01-23T04:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.819,0.694
2021-01-23T04:30:00Z,Skjern Å - Alergaard (001862),-3.18,1.002
2021-01-23T04:30:00Z,Rind Å - Arnborg kirke (054757),1.698,0.752
2021-01-23T04:30:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.43
2021-01-23T04:30:00Z,Fjederholt Å - A18 (052386),0.926,0.187
2021-01-23T04:15:00Z,Vorgod Å - Vandmøllen (055416),1.261,0.254
2021-01-23T04:15:00Z,Skjern Å - Sandfeldvej (055414),1.576,0.462
2021-01-23T04:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.821,0.696
2021-01-23T04:15:00Z,Skjern Å - Alergaard (001862),-3.17,1.012
2021-01-23T04:15:00Z,Rind Å - Arnborg kirke (054757),1.699,0.753
2021-01-23T04:15:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.43
2021-01-23T04:15:00Z,Fjederholt Å - A18 (052386),0.931,0.192
2021-01-23T04:00:00Z,Vorgod Å - Vandmøllen (055416),1.261,0.254
2021-01-23T04:00:00Z,Skjern Å - Sandfeldvej (055414),1.578,0.464
2021-01-23T04:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.814,0.689
2021-01-23T04:00:00Z,Skjern Å - Alergaard (001862),-3.186,0.996
2021-01-23T04:00:00Z,Rind Å - Arnborg kirke (054757),1.703,0.757
2021-01-23T04:00:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.43
2021-01-23T04:00:00Z,Fjederholt Å - A18 (052386),0.934,0.195
2021-01-23T03:45:00Z,Vorgod Å - Vandmøllen (055416),1.262,0.255
2021-01-23T03:45:00Z,Skjern Å - Sandfeldvej (055414),1.579,0.465
2021-01-23T03:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.827,0.702
2021-01-23T03:45:00Z,Skjern Å - Alergaard (001862),-3.177,1.005
2021-01-23T03:45:00Z,Rind Å - Arnborg kirke (054757),1.71,0.764
2021-01-23T03:45:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.429
2021-01-23T03:45:00Z,Fjederholt Å - A18 (052386),0.933,0.194
2021-01-23T03:30:00Z,Vorgod Å - Vandmøllen (055416),1.262,0.255
2021-01-23T03:30:00Z,Skjern Å - Sandfeldvej (055414),1.581,0.467
2021-01-23T03:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.827,0.702
2021-01-23T03:30:00Z,Skjern Å - Alergaard (001862),-3.176,1.006
2021-01-23T03:30:00Z,Rind Å - Arnborg kirke (054757),1.708,0.762
2021-01-23T03:30:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.428
2021-01-23T03:30:00Z,Fjederholt Å - A18 (052386),0.94,0.201
2021-01-23T03:15:00Z,Vorgod Å - Vandmøllen (055416),1.259,0.252
2021-01-23T03:15:00Z,Skjern Å - Sandfeldvej (055414),1.585,0.471
2021-01-23T03:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.828,0.703
2021-01-23T03:15:00Z,Skjern Å - Alergaard (001862),-3.171,1.011
2021-01-23T03:15:00Z,Rind Å - Arnborg kirke (054757),1.715,0.769
2021-01-23T03:15:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.428
2021-01-23T03:15:00Z,Fjederholt Å - A18 (052386),0.937,0.198
2021-01-23T03:00:00Z,Vorgod Å - Vandmøllen (055416),1.26,0.253
2021-01-23T03:00:00Z,Skjern Å - Sandfeldvej (055414),1.587,0.473
2021-01-23T03:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.826,0.701
2021-01-23T03:00:00Z,Skjern Å - Alergaard (001862),-3.176,1.006
2021-01-23T03:00:00Z,Rind Å - Arnborg kirke (054757),1.727,0.781
2021-01-23T03:00:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.428
2021-01-23T03:00:00Z,Fjederholt Å - A18 (052386),0.936,0.197
2021-01-23T02:45:00Z,Vorgod Å - Vandmøllen (055416),1.264,0.257
2021-01-23T02:45:00Z,Skjern Å - Sandfeldvej (055414),1.589,0.475
2021-01-23T02:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.829,0.704
2021-01-23T02:45:00Z,Skjern Å - Alergaard (001862),-3.166,1.016
2021-01-23T02:45:00Z,Rind Å - Arnborg kirke (054757),1.715,0.769
2021-01-23T02:45:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.428
2021-01-23T02:45:00Z,Fjederholt Å - A18 (052386),0.939,0.2
2021-01-23T02:30:00Z,Vorgod Å - Vandmøllen (055416),1.26,0.253
2021-01-23T02:30:00Z,Skjern Å - Sandfeldvej (055414),1.59,0.476
2021-01-23T02:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.819,0.694
2021-01-23T02:30:00Z,Skjern Å - Alergaard (001862),-3.177,1.005
2021-01-23T02:30:00Z,Rind Å - Arnborg kirke (054757),1.733,0.787
2021-01-23T02:30:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.429
2021-01-23T02:30:00Z,Fjederholt Å - A18 (052386),0.941,0.202
2021-01-23T02:15:00Z,Vorgod Å - Vandmøllen (055416),1.256,0.249
2021-01-23T02:15:00Z,Skjern Å - Sandfeldvej (055414),1.592,0.478
2021-01-23T02:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.818,0.693
2021-01-23T02:15:00Z,Skjern Å - Alergaard (001862),-3.161,1.021
2021-01-23T02:15:00Z,Rind Å - Arnborg kirke (054757),1.735,0.789
2021-01-23T02:15:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.429
