Date,Place,Value
2024-01-05T04:45:00Z,Fjederholt Å - A18,40.661
2024-01-05T04:30:00Z,Fjederholt Å - A18,40.664
2024-01-05T04:15:00Z,Fjederholt Å - A18,40.666000000000004
2024-01-05T04:00:00Z,Fjederholt Å - A18,40.665
2024-01-05T03:45:00Z,Fjederholt Å - A18,40.664
2024-01-05T03:30:00Z,Fjederholt Å - A18,40.663000000000004
2024-01-05T03:15:00Z,Fjederholt Å - A18,40.671
2024-01-05T03:00:00Z,Fjederholt Å - A18,40.664
2024-01-05T02:45:00Z,Fjederholt Å - A18,40.669000000000004
2024-01-05T02:30:00Z,Fjederholt Å - A18,40.668
2024-01-05T02:15:00Z,Fjederholt Å - A18,40.668
2024-01-05T02:00:00Z,Fjederholt Å - A18,40.67
2024-01-05T01:45:00Z,Fjederholt Å - A18,40.674
2024-01-05T01:30:00Z,Fjederholt Å - A18,40.673
2024-01-05T01:15:00Z,Fjederholt Å - A18,40.673
2024-01-05T01:00:00Z,Fjederholt Å - A18,40.677
2024-01-05T00:45:00Z,Fjederholt Å - A18,40.677
2024-01-05T00:30:00Z,Fjederholt Å - A18,40.673
2024-01-05T00:15:00Z,Fjederholt Å - A18,40.685
2024-01-05T00:00:00Z,Fjederholt Å - A18,40.681000000000004
2024-01-04T23:45:00Z,Fjederholt Å - A18,40.684000000000005
2024-01-04T23:30:00Z,Fjederholt Å - A18,40.682
2024-01-04T23:15:00Z,Fjederholt Å - A18,40.682
2024-01-04T23:00:00Z,Fjederholt Å - A18,40.681000000000004
2024-01-04T22:45:00Z,Fjederholt Å - A18,40.689
2024-01-04T22:30:00Z,Fjederholt Å - A18,40.685
2024-01-04T22:15:00Z,Fjederholt Å - A18,40.686
2024-01-04T22:00:00Z,Fjederholt Å - A18,40.689
2024-01-04T21:45:00Z,Fjederholt Å - A18,40.689
2024-01-04T21:30:00Z,Fjederholt Å - A18,40.691
2024-01-04T21:15:00Z,Fjederholt Å - A18,40.686
2024-01-04T21:00:00Z,Fjederholt Å - A18,40.687000000000005
2024-01-04T20:45:00Z,Fjederholt Å - A18,40.693000000000005
2024-01-04T20:30:00Z,Fjederholt Å - A18,40.695
2024-01-04T20:15:00Z,Fjederholt Å - A18,40.696000000000005
2024-01-04T20:00:00Z,Fjederholt Å - A18,40.693000000000005
2024-01-04T19:45:00Z,Fjederholt Å - A18,40.699000000000005
2024-01-04T19:30:00Z,Fjederholt Å - A18,40.7
2024-01-04T19:15:00Z,Fjederholt Å - A18,40.698
2024-01-04T19:00:00Z,Fjederholt Å - A18,40.7
2024-01-04T18:45:00Z,Fjederholt Å - A18,40.697
2024-01-04T18:30:00Z,Fjederholt Å - A18,40.7
2024-01-04T18:15:00Z,Fjederholt Å - A18,40.701
2024-01-04T18:00:00Z,Fjederholt Å - A18,40.705000000000005
2024-01-04T17:45:00Z,Fjederholt Å - A18,40.704
2024-01-04T17:30:00Z,Fjederholt Å - A18,40.706
2024-01-04T17:15:00Z,Fjederholt Å - A18,40.7
