Date,Place,YGroup,Level,LevelRelative
2020-09-20T00:22:30Z,Fjederholt Å - A18,2018,4027.8,10.5
2020-09-20T01:22:30Z,Fjederholt Å - A18,2018,4027.7,10.5
2020-09-20T02:22:30Z,Fjederholt Å - A18,2018,4027.7,10.5
2020-09-20T03:22:30Z,Fjederholt Å - A18,2018,4027.7,10.5
2020-09-20T04:22:30Z,Fjederholt Å - A18,2018,4027.7,10.4
2020-09-20T05:22:30Z,Fjederholt Å - A18,2018,4027.6,10.4
2020-09-20T06:22:30Z,Fjederholt Å - A18,2018,4027.6,10.4
2020-09-20T07:22:30Z,Fjederholt Å - A18,2018,4027.6,10.4
2020-09-20T08:22:30Z,Fjederholt Å - A18,2018,4027.7,10.4
2020-09-20T09:22:30Z,Fjederholt Å - A18,2018,4027.7,10.5
2020-09-20T10:22:30Z,Fjederholt Å - A18,2018,4027.8,10.6
2020-09-20T11:22:30Z,Fjederholt Å - A18,2018,4027.8,10.6
2020-09-20T12:22:30Z,Fjederholt Å - A18,2018,4027.9,10.7
2020-09-20T13:22:30Z,Fjederholt Å - A18,2018,4027.9,10.7
2020-09-20T14:22:30Z,Fjederholt Å - A18,2018,4027.9,10.7
2020-09-20T15:22:30Z,Fjederholt Å - A18,2018,4027.9,10.7
2020-09-20T16:22:30Z,Fjederholt Å - A18,2018,4027.9,10.7
2020-09-20T17:22:30Z,Fjederholt Å - A18,2018,4027.9,10.7
2020-09-20T18:22:30Z,Fjederholt Å - A18,2018,4028.2,11
2020-09-20T19:22:30Z,Fjederholt Å - A18,2018,4028.4,11.2
2020-09-20T20:22:30Z,Fjederholt Å - A18,2018,4028.4,11.2
2020-09-20T21:22:30Z,Fjederholt Å - A18,2018,4028.5,11.3
2020-09-20T22:22:30Z,Fjederholt Å - A18,2018,4028.7,11.5
2020-09-20T23:22:30Z,Fjederholt Å - A18,2018,4028.8,11.6
2020-09-21T00:22:30Z,Fjederholt Å - A18,2018,4029,11.6
2020-09-21T01:22:30Z,Fjederholt Å - A18,2018,4029.2,11.8
2020-09-21T02:22:30Z,Fjederholt Å - A18,2018,4029.3,11.9
2020-09-21T03:22:30Z,Fjederholt Å - A18,2018,4029.6,12.2
2020-09-21T04:22:30Z,Fjederholt Å - A18,2018,4030.1,12.7
2020-09-21T05:22:30Z,Fjederholt Å - A18,2018,4030.5,13.1
2020-09-21T06:22:30Z,Fjederholt Å - A18,2018,4030.9,13.5
2020-09-21T07:22:30Z,Fjederholt Å - A18,2018,4031.2,13.9
2020-09-21T08:22:30Z,Fjederholt Å - A18,2018,4032.3,14.9
2020-09-21T09:22:30Z,Fjederholt Å - A18,2018,4032.4,15
2020-09-21T10:22:30Z,Fjederholt Å - A18,2018,4032.4,15
2020-09-21T11:22:30Z,Fjederholt Å - A18,2018,4032.4,15
2020-09-21T12:22:30Z,Fjederholt Å - A18,2018,4032.5,15.1
2020-09-21T13:22:30Z,Fjederholt Å - A18,2018,4032.5,15.1
2020-09-21T14:22:30Z,Fjederholt Å - A18,2018,4032.4,14.9
2020-09-21T15:22:30Z,Fjederholt Å - A18,2018,4032.3,14.9
2020-09-21T16:22:30Z,Fjederholt Å - A18,2018,4032.3,14.9
2020-09-21T17:22:30Z,Fjederholt Å - A18,2018,4032.5,15
2020-09-21T18:22:30Z,Fjederholt Å - A18,2018,4033,15.6
2020-09-21T19:22:30Z,Fjederholt Å - A18,2018,4033.5,16.1
