Date,Place,Value
2024-10-02T05:15:00Z,Skjern Å - Laksens hus,9.68
2024-10-02T05:20:00Z,Skjern Å - Laksens hus,9.68
2024-10-02T05:25:00Z,Skjern Å - Laksens hus,9.68
2024-10-02T05:30:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T05:35:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T05:40:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T05:45:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T05:50:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T05:55:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T06:00:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T06:05:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T06:10:00Z,Skjern Å - Laksens hus,9.58
2024-10-01T17:20:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:25:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:30:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:35:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:40:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:45:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:50:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T17:55:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T18:00:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T18:05:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T18:10:00Z,Skjern Å - Laksens hus,10.27
2024-10-01T18:15:00Z,Skjern Å - Laksens hus,10.17
2024-10-03T01:10:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:15:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:20:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:25:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:30:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:35:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:40:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:45:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:50:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T01:55:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T02:00:00Z,Skjern Å - Laksens hus,9.58
2024-10-03T02:05:00Z,Skjern Å - Laksens hus,9.58
2024-10-02T22:10:00Z,Skjern Å - Laksens hus,9.78
2024-10-02T22:15:00Z,Skjern Å - Laksens hus,9.78
