Date,Place,YGroup,Temp
2020-07-06T00:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-06T01:27:30Z,Skjern Å - Laksens hus,2022,14.7
2020-07-06T02:27:30Z,Skjern Å - Laksens hus,2022,14.6
2020-07-06T03:27:30Z,Skjern Å - Laksens hus,2022,14.4
2020-07-06T04:27:30Z,Skjern Å - Laksens hus,2022,14.3
2020-07-06T05:27:30Z,Skjern Å - Laksens hus,2022,14.2
2020-07-06T06:27:30Z,Skjern Å - Laksens hus,2022,14.2
2020-07-06T07:27:30Z,Skjern Å - Laksens hus,2022,14.3
2020-07-06T08:27:30Z,Skjern Å - Laksens hus,2022,14.5
2020-07-06T09:27:30Z,Skjern Å - Laksens hus,2022,14.6
2020-07-06T10:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-06T11:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-06T12:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-06T13:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-06T14:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-06T15:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-06T16:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-06T17:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-06T18:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-06T19:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-06T20:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-06T21:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-06T22:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-06T23:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-07T00:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-07T01:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-07T02:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-07T03:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-07T04:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-07T05:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-07T06:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-07T07:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-07T08:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-07T09:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-07T10:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-07T11:27:30Z,Skjern Å - Laksens hus,2022,15.3
2020-07-07T12:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-07T13:27:30Z,Skjern Å - Laksens hus,2022,16
2020-07-07T14:27:30Z,Skjern Å - Laksens hus,2022,16.3
2020-07-07T15:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-07T16:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-07T17:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-07T18:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-07T19:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-07T20:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-07T21:27:30Z,Skjern Å - Laksens hus,2022,16.1
2020-07-07T22:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-07T23:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-08T00:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-08T01:27:30Z,Skjern Å - Laksens hus,2022,15.3
2020-07-08T02:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-08T03:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-08T04:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-08T05:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-08T06:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-08T07:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-08T08:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-08T09:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-08T10:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-08T11:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-08T12:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-08T13:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-08T14:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-08T15:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-08T16:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-08T17:27:30Z,Skjern Å - Laksens hus,2022,16
2020-07-08T18:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-08T19:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-08T20:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-08T21:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-08T22:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-08T23:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-09T00:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-09T01:27:30Z,Skjern Å - Laksens hus,2022,15.3
2020-07-09T02:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-09T03:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-09T04:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-09T05:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-09T06:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-09T07:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-09T08:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-09T09:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-09T10:27:30Z,Skjern Å - Laksens hus,2022,15.3
2020-07-09T11:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-09T12:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-09T13:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-09T14:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-09T15:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-09T16:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-09T17:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-09T18:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-09T19:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-09T20:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-09T21:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-09T22:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-09T23:27:30Z,Skjern Å - Laksens hus,2022,14.7
2020-07-10T00:27:30Z,Skjern Å - Laksens hus,2022,14.6
2020-07-10T01:27:30Z,Skjern Å - Laksens hus,2022,14.5
2020-07-10T02:27:30Z,Skjern Å - Laksens hus,2022,14.3
2020-07-10T03:27:30Z,Skjern Å - Laksens hus,2022,14.2
2020-07-10T04:27:30Z,Skjern Å - Laksens hus,2022,14.1
2020-07-10T05:27:30Z,Skjern Å - Laksens hus,2022,14
2020-07-10T06:27:30Z,Skjern Å - Laksens hus,2022,13.9
2020-07-10T07:27:30Z,Skjern Å - Laksens hus,2022,14
2020-07-10T08:27:30Z,Skjern Å - Laksens hus,2022,14
2020-07-10T09:27:30Z,Skjern Å - Laksens hus,2022,14.2
2020-07-10T10:27:30Z,Skjern Å - Laksens hus,2022,14.4
2020-07-10T11:27:30Z,Skjern Å - Laksens hus,2022,14.7
2020-07-10T12:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-10T13:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-10T14:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-10T15:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T16:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T17:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T18:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T19:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-10T20:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-10T21:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-10T22:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-10T23:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-11T00:27:30Z,Skjern Å - Laksens hus,2022,14.8
