Length,Period,Avg,Lower,Upper,MonthN
40,Apr,0.528,0.414,0.672,4
40,May,0.709,0.555,0.905,5
40,Jun,0.78,0.612,0.993,6
40,Jul,0.651,0.512,0.828,7
40,Aug,0.601,0.475,0.76,8
40,Sep,0.555,0.439,0.702,9
40,Oct,0.548,0.428,0.702,10
41,Apr,0.571,0.449,0.727,4
41,May,0.761,0.596,0.97,5
41,Jun,0.833,0.655,1.061,6
41,Jul,0.7,0.551,0.889,7
41,Aug,0.647,0.512,0.818,8
41,Sep,0.599,0.473,0.757,9
41,Oct,0.592,0.463,0.756,10
42,Apr,0.617,0.485,0.785,4
42,May,0.815,0.639,1.039,5
42,Jun,0.889,0.699,1.131,6
42,Jul,0.751,0.591,0.954,7
42,Aug,0.695,0.55,0.878,8
42,Sep,0.644,0.51,0.815,9
42,Oct,0.638,0.499,0.814,10
43,Apr,0.665,0.523,0.846,4
43,May,0.871,0.684,1.11,5
43,Jun,0.948,0.746,1.205,6
43,Jul,0.804,0.634,1.021,7
43,Aug,0.745,0.59,0.942,8
43,Sep,0.693,0.548,0.876,9
43,Oct,0.686,0.538,0.875,10
44,Apr,0.716,0.563,0.91,4
44,May,0.93,0.731,1.184,5
44,Jun,1.009,0.794,1.282,6
44,Jul,0.86,0.678,1.091,7
44,Aug,0.798,0.631,1.008,8
44,Sep,0.743,0.588,0.94,9
44,Oct,0.737,0.578,0.939,10
45,Apr,0.769,0.606,0.977,4
45,May,0.992,0.78,1.262,5
45,Jun,1.072,0.844,1.361,6
45,Jul,0.918,0.724,1.165,7
45,Aug,0.853,0.675,1.078,8
45,Sep,0.796,0.63,1.006,9
45,Oct,0.79,0.62,1.005,10
46,Apr,0.825,0.65,1.048,4
46,May,1.056,0.83,1.343,5
46,Jun,1.137,0.896,1.444,6
46,Jul,0.979,0.772,1.241,7
46,Aug,0.911,0.721,1.151,8
46,Sep,0.852,0.674,1.076,9
46,Oct,0.845,0.665,1.075,10
47,Apr,0.884,0.697,1.122,4
47,May,1.123,0.883,1.427,5
47,Jun,1.205,0.95,1.53,6
47,Jul,1.043,0.823,1.321,7
47,Aug,0.971,0.769,1.227,8
47,Sep,0.91,0.72,1.149,9
47,Oct,0.904,0.711,1.149,10
48,Apr,0.946,0.746,1.2,4
48,May,1.192,0.938,1.515,5
48,Jun,1.276,1.006,1.618,6
48,Jul,1.109,0.875,1.404,7
48,Aug,1.034,0.818,1.306,8
48,Sep,0.97,0.768,1.226,9
48,Oct,0.965,0.759,1.225,10
49,Apr,1.011,0.797,1.282,4
49,May,1.265,0.996,1.606,5
49,Jun,1.349,1.064,1.71,6
49,Jul,1.177,0.93,1.491,7
49,Aug,1.099,0.87,1.388,8
49,Sep,1.033,0.818,1.306,9
49,Oct,1.028,0.81,1.305,10
50,Apr,1.078,0.85,1.367,4
50,May,1.34,1.055,1.701,5
50,Jun,1.425,1.124,1.806,6
50,Jul,1.249,0.986,1.581,7
50,Aug,1.167,0.924,1.474,8
50,Sep,1.099,0.87,1.389,9
50,Oct,1.095,0.863,1.389,10
51,Apr,1.149,0.906,1.456,4
51,May,1.417,1.117,1.799,5
51,Jun,1.503,1.186,1.904,6
51,Jul,1.323,1.045,1.674,7
51,Aug,1.238,0.981,1.564,8
51,Sep,1.168,0.925,1.475,9
51,Oct,1.164,0.918,1.476,10
52,Apr,1.222,0.965,1.549,4
52,May,1.498,1.181,1.9,5
52,Jun,1.584,1.25,2.006,6
