Length,Period,Avg,Lower,Upper,MonthN
40,apr,0.791,0.603,1.04,4
40,maj,0.778,0.588,1.03,5
40,jun,0.841,0.64,1.104,6
40,jul,0.824,0.628,1.081,7
40,aug,0.794,0.605,1.042,8
40,sep,0.76,0.579,0.997,9
40,okt,0.745,0.564,0.983,10
41,apr,0.85,0.647,1.116,4
41,maj,0.84,0.635,1.111,5
41,jun,0.904,0.689,1.187,6
41,jul,0.885,0.675,1.161,7
41,aug,0.852,0.65,1.118,8
41,sep,0.816,0.622,1.072,9
41,okt,0.799,0.606,1.054,10
42,apr,0.911,0.694,1.196,4
42,maj,0.905,0.685,1.196,5
42,jun,0.971,0.74,1.274,6
42,jul,0.95,0.724,1.246,7
42,aug,0.913,0.696,1.198,8
42,sep,0.876,0.667,1.15,9
42,okt,0.856,0.65,1.128,10
43,apr,0.975,0.743,1.279,4
43,maj,0.974,0.738,1.286,5
43,jun,1.04,0.793,1.365,6
43,jul,1.018,0.776,1.334,7
43,aug,0.977,0.745,1.281,8
43,sep,0.938,0.715,1.231,9
43,okt,0.916,0.695,1.206,10
44,apr,1.041,0.794,1.367,4
44,maj,1.046,0.793,1.38,5
44,jun,1.113,0.849,1.461,6
44,jul,1.088,0.83,1.427,7
44,aug,1.044,0.796,1.369,8
44,sep,1.003,0.765,1.316,9
44,okt,0.978,0.743,1.287,10
45,apr,1.111,0.847,1.458,4
45,maj,1.122,0.851,1.479,5
45,jun,1.19,0.907,1.561,6
45,jul,1.162,0.886,1.524,7
45,aug,1.113,0.849,1.46,8
45,sep,1.071,0.817,1.405,9
45,okt,1.043,0.793,1.371,10
46,apr,1.184,0.902,1.553,4
46,maj,1.201,0.912,1.583,5
46,jun,1.269,0.968,1.665,6
46,jul,1.239,0.945,1.624,7
46,aug,1.186,0.904,1.555,8
46,sep,1.142,0.871,1.498,9
46,okt,1.11,0.844,1.459,10
47,apr,1.259,0.96,1.652,4
47,maj,1.284,0.975,1.691,5
47,jun,1.352,1.031,1.774,6
47,jul,1.319,1.006,1.73,7
47,aug,1.261,0.962,1.653,8
47,sep,1.216,0.927,1.595,9
47,okt,1.18,0.898,1.551,10
48,apr,1.338,1.02,1.755,4
48,maj,1.371,1.042,1.805,5
48,jun,1.439,1.097,1.887,6
48,jul,1.403,1.07,1.839,7
48,aug,1.34,1.022,1.756,8
48,sep,1.293,0.986,1.696,9
48,okt,1.253,0.954,1.647,10
49,apr,1.42,1.083,1.862,4
49,maj,1.462,1.111,1.923,5
49,jun,1.529,1.166,2.005,6
