dates;flow
2020-01-21T23:00:00Z;  24
2020-01-21T23:30:00Z;  21
2020-01-22T00:00:00Z;  24
2020-01-22T00:30:00Z;  18
2020-01-22T01:00:00Z;  13
2020-01-22T01:30:00Z;-193
2020-01-22T02:00:00Z;-298
2020-01-22T02:30:00Z;-453
2020-01-22T03:00:00Z;-507
2020-01-22T03:30:00Z;-631
2020-01-22T04:00:00Z;-652
2020-01-22T04:30:00Z;-709
2020-01-22T05:00:00Z;-761
2020-01-22T05:30:00Z;-753
2020-01-22T06:00:00Z;-744
2020-01-22T06:30:00Z;-690
2020-01-22T07:00:00Z;-611
2020-01-22T07:30:00Z;-589
2020-01-22T08:00:00Z;-567
2020-01-22T08:30:00Z;-555
2020-01-22T09:00:00Z;-424
2020-01-22T09:30:00Z;-392
2020-01-22T10:00:00Z;-319
2020-01-22T10:30:00Z;-251
2020-01-22T11:00:00Z;  42
2020-01-22T11:30:00Z;  23
2020-01-22T12:00:00Z;  17
2020-01-22T12:30:00Z;  19
2020-01-22T13:00:00Z;  19
2020-01-22T13:30:00Z;   9
2020-01-22T14:00:00Z;-126
2020-01-22T14:30:00Z;-250
2020-01-22T15:00:00Z;-507
2020-01-22T15:30:00Z;-567
2020-01-22T16:00:00Z;-621
2020-01-22T16:30:00Z;-709
2020-01-22T17:00:00Z;-753
2020-01-22T17:30:00Z;-810
2020-01-22T18:00:00Z;-802
2020-01-22T18:30:00Z;-770
2020-01-22T19:00:00Z;-727
2020-01-22T19:30:00Z;-681
2020-01-22T20:00:00Z;-652
2020-01-22T20:30:00Z;-631
2020-01-22T21:00:00Z;-567
2020-01-22T21:30:00Z;-519
2020-01-22T22:00:00Z;-453
2020-01-22T22:30:00Z;-298
2020-01-22T23:00:00Z;-224
2020-01-22T23:30:00Z;  42
2020-01-23T00:00:00Z;  19
2020-01-23T00:30:00Z;  21
2020-01-23T01:00:00Z;  17
2020-01-23T01:30:00Z;  14
2020-01-23T02:00:00Z;   2
2020-01-23T02:30:00Z;-251
2020-01-23T03:00:00Z;-319
2020-01-23T03:30:00Z;-467
2020-01-23T04:00:00Z;-578
2020-01-23T04:30:00Z;-661
2020-01-23T05:00:00Z;-690
2020-01-23T05:30:00Z;-735
2020-01-23T06:00:00Z;-794
2020-01-23T06:30:00Z;-786
2020-01-23T07:00:00Z;-735
2020-01-23T07:30:00Z;-699
2020-01-23T08:00:00Z;-642
2020-01-23T08:30:00Z;-631
2020-01-23T09:00:00Z;   0
2020-01-23T09:30:00Z;   0
2020-01-23T10:00:00Z;   0
2020-01-23T10:30:00Z;   0
2020-01-23T11:00:00Z;   0
2020-01-23T11:30:00Z;   0
2020-01-23T12:00:00Z;   0
2020-01-23T12:30:00Z;  25
2020-01-23T13:00:00Z;  27
2020-01-23T13:30:00Z;  26
2020-01-23T14:00:00Z;  22
2020-01-23T14:30:00Z;  18
2020-01-23T15:00:00Z;  19
2020-01-23T15:30:00Z;  -8
2020-01-23T16:00:00Z;-193
2020-01-23T16:30:00Z;-392
2020-01-23T17:00:00Z;-532
2020-01-23T17:30:00Z;   0
2020-01-23T18:00:00Z;-661
2020-01-23T18:30:00Z;-597
2020-01-23T19:00:00Z;-545
2020-01-23T19:30:00Z;-487
2020-01-23T20:00:00Z;-401
2020-01-23T20:30:00Z;-390
2020-01-23T21:00:00Z;-327
2020-01-23T21:30:00Z;-319
2020-01-23T22:00:00Z;-223
2020-01-23T22:30:00Z;  17
2020-01-23T23:00:00Z;  22
2020-01-23T23:30:00Z;  27
2020-01-24T00:00:00Z;  30
2020-01-24T00:30:00Z;  33
2020-01-24T01:00:00Z;  33
2020-01-24T01:30:00Z;  32
2020-01-24T02:00:00Z;  31
2020-01-24T02:30:00Z;  32
2020-01-24T03:00:00Z;  26
2020-01-24T03:30:00Z;  26
2020-01-24T04:00:00Z;  23
2020-01-24T04:30:00Z;  19
2020-01-24T05:00:00Z;  -8
2020-01-24T05:30:00Z;-357
2020-01-24T06:00:00Z;-519
2020-01-24T06:30:00Z;-600
2020-01-24T07:00:00Z;-578
2020-01-24T07:30:00Z;-494
2020-01-24T08:00:00Z;-467
2020-01-24T08:30:00Z;-392
2020-01-24T09:00:00Z;-408
2020-01-24T09:30:00Z;-357
2020-01-24T10:00:00Z;-319
2020-01-24T10:30:00Z;-157
2020-01-24T11:00:00Z; 139
2020-01-24T11:30:00Z;  29
2020-01-24T12:00:00Z;  23
2020-01-24T12:30:00Z;  32
2020-01-24T13:00:00Z;  35
2020-01-24T13:30:00Z;  33
2020-01-24T14:00:00Z;  33
2020-01-24T14:30:00Z;  33
2020-01-24T15:00:00Z;  30
2020-01-24T15:30:00Z;  29
2020-01-24T16:00:00Z;  27
2020-01-24T16:30:00Z;  20
2020-01-24T17:00:00Z;   2
2020-01-24T17:30:00Z; -14
2020-01-24T18:00:00Z;-424
2020-01-24T18:30:00Z;-519
2020-01-24T19:00:00Z;-567
2020-01-24T19:30:00Z;-544
2020-01-24T20:00:00Z;-453
2020-01-24T20:30:00Z;-392
2020-01-24T21:00:00Z;-319
2020-01-24T21:30:00Z;-319
2020-01-24T22:00:00Z;-319
2020-01-24T22:30:00Z;-251
2020-01-24T23:00:00Z; 190
2020-01-24T23:30:00Z;  31
2020-01-25T00:00:00Z;  26
2020-01-25T00:30:00Z;  33
2020-01-25T01:00:00Z;  35
2020-01-25T01:30:00Z;  35
2020-01-25T02:00:00Z;  34
2020-01-25T02:30:00Z;  34
2020-01-25T03:00:00Z;  32
2020-01-25T03:30:00Z;  29
2020-01-25T04:00:00Z;  28
2020-01-25T04:30:00Z;  18
2020-01-25T05:00:00Z;  18
2020-01-25T05:30:00Z; -10
2020-01-25T06:00:00Z;  -1
2020-01-25T06:30:00Z;   0
