Dato,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 8,Port 9,Port 10,Port 11,Port 12,Port 13,Port 14,Hændelse
2008-01-22T08:47:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pejling
2008-08-28T14:57:00Z,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,Udstrøm
2008-08-28T17:43:00Z,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,Besejling
2008-08-28T17:55:00Z,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,Udstrøm
2009-02-22T23:09:00Z,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,Indstrøm slut
2009-02-23T00:03:00Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(empty)
2009-02-23T22:03:00Z,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,Tåge
2009-02-24T21:58:00Z,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-01T23:26:00Z,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,0,Arbejde sluse eller havn
2011-08-02T04:19:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Fiskeriet
2011-08-06T09:22:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,NA,5,Udstrøm
2011-08-06T09:54:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,Arbejde sluse eller havn
2011-08-06T10:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Fiskeriet
2011-08-07T04:06:00Z,NA,NA,NA,NA,5,NA,5,NA,5,5,NA,5,NA,5,Indstrøm
2011-08-07T04:55:00Z,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,Arbejde sluse eller havn
2011-08-07T09:24:00Z,NA,NA,NA,NA,5,NA,5,NA,5,5,NA,5,NA,5,Indstrøm
2011-08-07T15:58:00Z,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,Indstrøm slut
2011-08-07T22:37:00Z,NA,NA,NA,NA,5,NA,5,NA,5,5,NA,5,NA,5,Indstrøm
2011-08-08T03:58:00Z,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,Indstrøm slut
2011-08-08T12:15:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-08T15:11:00Z,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Udstrøm slut
2011-08-08T16:50:00Z,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,Indstrøm slut
2011-08-09T12:37:00Z,NA,NA,NA,5,NA,5,5,5,5,5,NA,5,5,NA,Indstrøm
2011-08-09T16:25:00Z,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,0,NA,Indstrøm slut
